	GSM1389613	GSM1389614	GSM1389615	GSM1389616	GSM1389617	GSM1389618	GSM1389619	GSM1389620
ZNF407	5.83316968481346	5.70126674948747	5.83352145678259	5.61661485816323	5.77711999028464	4.83254724832726	4.54044720885355	4.91460549202367
PRKAA1	5.67244504663962	5.72905893884563	5.72787029246433	5.75877756794573	5.69410309186109	6.06252448179869	6.16965800839863	6.0091961219991
SLC39A4	6.88821423734329	7.00926180658059	6.78898611256157	7.10119823257948	6.94671754744719	7.89311942687403	8.28028984776017	7.79409867692557
LRRC40	7.6691425473657	7.85855411168143	7.91059141981033	7.98277456169858	8.02131322137912	8.06248428619777	8.39050980710265	8.06495144659697
TBC1D22B	5.71253539583679	5.63522355121367	5.65088384281367	5.57891283023342	5.60137587963416	5.4401430031668	5.30761206053529	5.41839415336895
KRBOX4	7.04999349961956	7.19130474215293	7.1373252690174	7.25138417263573	7.05754700640337	8.20766692550953	8.54242136692082	8.01917657988141
CHD7	7.06163898991761	7.15023452927581	7.17073760851993	7.17413025222123	7.05429254387226	7.77959292422799	7.98916324491255	7.62912994342789
SYBU	8.13811436766507	7.59624074138086	8.05948353563105	8.28690458224541	8.09789989081802	8.00832971649358	8.76690378682672	8.70125853937131
PRKAA2	6.0043310808094	5.93001751692569	5.89672667200881	5.87140527826354	5.86765879287472	5.83757471712203	5.73142449469677	5.8050610163265
FLVCR2	6.25475549528431	6.35681343712652	6.19212990731567	6.49253939693679	6.50060554425946	6.56652502169487	6.87531763532013	6.65625883561107
BTBD2	6.55422298470813	6.51999023163368	6.40614228669778	6.48892182680968	6.38306577877753	6.95390342780936	6.98991559465613	6.82942239108021
OSGEP	6.8230761862841	6.90212861896091	6.83195385441492	6.96505786402178	6.95819884601327	7.0712397231934	7.30129189277055	7.08194174376749
RAB20	7.33315184381007	7.58062790590277	7.38672502160427	7.73084150506233	7.49929709561513	8.97366626658704	9.56207729504701	8.80474582375236
PRKAB1	7.42142840512065	7.4726898060406	7.34586569565124	7.47545746691999	7.35549830082773	8.10909683907885	8.31651256896021	7.9496690607698
PIGV	8.06681070846202	8.01882633591352	8.09833576527129	8.19702514572437	8.04558126534354	8.81433000799849	9.35034104657172	8.53640448838353
NHP2	9.04979073914973	8.92518768922184	9.20530271733641	8.95695674450066	8.80664283231101	9.559232822389	9.64310917728875	9.07657683870374
SLC48A1	6.672683149176	6.72302683481321	6.50568966083652	6.7013952076509	6.36034895836751	8.22589265334646	8.44974794925169	7.90009317535934
BCAS4	5.96461472227606	5.89315946101402	5.81674881951186	5.82423362401381	5.71048106542482	6.3103477721353	6.24444388769671	6.14850283014032
TMEM127	7.93934641400578	8.00508252214803	7.91079417502198	7.98466644049718	7.84403370152058	8.7414700800741	8.91536302848557	8.52624936286191
NLRP2	6.68148667620121	6.18850216400271	5.91295897812355	5.94664609773744	5.96084319308813	5.75178101965684	5.94482249032519	6.15373684587959
INTS8	8.25965334037056	8.48780698206089	8.53304872430151	8.58352915236312	8.62439771850457	8.63189772072254	8.93647412824123	8.64982808311787
ZNF692	7.09905372570444	7.02283022319048	6.98179531563319	6.93951638176848	6.92388636419164	7.01374740197136	6.95492395645686	6.91670538362926
