ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
10146_at	G3BP1	G3BP stress granule assembly factor 1	10146
10147_at	SUGP2	SURP and G-patch domain containing 2	10147
10150_at	MBNL2	muscleblind like splicing regulator 2	10150
10152_at	ABI2	abl-interactor 2	10152
10153_at	CEBPZ	CCAAT/enhancer binding protein zeta	10153
10154_at	PLXNC1	plexin C1	10154
10155_at	TRIM28	tripartite motif containing 28	10155
10157_at	AASS	aminoadipate-semialdehyde synthase	10157
10158_at	PDZK1IP1	PDZK1 interacting protein 1	10158
10159_at	ATP6AP2	ATPase H+ transporting accessory protein 2	10159
10160_at	FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"	10160
10161_at	LPAR6	lysophosphatidic acid receptor 6	10161
10162_at	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162
10163_at	WASF2	WAS protein family member 2	10163
10165_at	SLC25A13	solute carrier family 25 member 13	10165
10166_at	SLC25A15	solute carrier family 25 member 15	10166
10168_at	ZNF197	zinc finger protein 197	10168
10169_at	SERF2	small EDRK-rich factor 2	10169
1017_at	CDK2	cyclin dependent kinase 2	1017
10171_at	RCL1	RNA terminal phosphate cyclase like 1	10171
10174_at	SORBS3	sorbin and SH3 domain containing 3	10174
10175_at	CNIH1	cornichon family AMPA receptor auxiliary protein 1	10175
10179_at	RBM7	RNA binding motif protein 7	10179
10180_at	RBM6	RNA binding motif protein 6	10180
10181_at	RBM5	RNA binding motif protein 5	10181
10184_at	LHFPL2	lipoma HMGIC fusion partner-like 2	10184
10186_at	LHFP	lipoma HMGIC fusion partner	10186
10188_at	TNK2	tyrosine kinase non receptor 2	10188
10189_at	ALYREF	Aly/REF export factor	10189
1019_at	CDK4	cyclin dependent kinase 4	1019
10190_at	TXNDC9	thioredoxin domain containing 9	10190
101926963_at	LOC101926963	uncharacterized LOC101926963	101926963
101927051_at	LOC101927051	uncharacterized LOC101927051	101927051
101927093_at	LOC101927093	uncharacterized LOC101927093	101927093
101927143_at	LOC101927143	uncharacterized LOC101927143	101927143
101927151_at	LOC101927151	uncharacterized LOC101927151	101927151
101927166_at	LOC101927166	uncharacterized LOC101927166	101927166
101927204_at	LOC101927204	uncharacterized LOC101927204	101927204
101927255_at	LOC101927255	uncharacterized LOC101927255	101927255
101927274_at	LOC101927274	uncharacterized LOC101927274	101927274
101927362_at	LOC101927362	uncharacterized LOC101927362	101927362
